group,k_median,k_q2.5,k_q97.5,half_life_median,half_life_q2.5,half_life_q97.5,years90_median,years90_q2.5,years90_q97.5
Pre2001,0.02228756111789499,0.01609675039400685,0.03142581118005581,31.10018081012791,22.056620176605854,43.061311411591475,103.31256438924072,73.27050624292646,143.0465801808595
By2011,0.02616264322747857,0.0205722825691335,0.033323583257115416,26.493775033665457,20.8004996305741,33.693256522168625,88.01041562395866,69.0977641104983,111.92657544923883
By2016,0.019024968587971248,0.015185766442575993,0.02378173173630386,36.4335522702635,29.146203479017483,45.64453058108012,121.02964088313557,96.82159219625198,151.62784851523546
By2021,0.014282161820542726,0.011159790736289149,0.018028102619245583,48.532371351619915,38.44815396322752,62.11112780695302,161.2210479044528,127.7220028470004,206.32870046705696
NotYet,0.013491150647036834,0.010502152133098686,0.017203841781484982,51.37791427870117,40.290255560129935,66.00049131924015,170.67373689913202,133.8413318953874,219.24888638975335
